"","cdm_name","group_level","min_data","max_data","shortage_year","estimate_before","estimate_after","diff","variable_level","country","data_type","set","variable_name"
"28","BZMC","amoxicillin_clavulanate",2021,2024,2023,4.3,5.95,1.38372093023256,"Sinusitis","Israel","secondary","inc","Indication during prior 30 days"
"29","BZMC","amoxicillin_clavulanate",2021,2023,2023,2.85,0.7,0.245614035087719,"Covid_19","Israel","secondary","inc","Indication on index date"
"30","BZMC","amoxicillin_clavulanate",2020,2024,2023,0.9,2.15,2.38888888888889,"Otitis_media","Israel","secondary","inc","Indication on index date"
"31","BZMC","amoxicillin_clavulanate",2021,2024,2023,5.4,3.7,0.685185185185185,"Cellulitis_erysipelas_woundinfection","Israel","secondary","inc","Indication on index date"
"32","BZMC","amoxicillin_clavulanate",2021,2024,2023,2.9,4.15,1.43103448275862,"Sinusitis","Israel","secondary","inc","Indication on index date"
"33","CPRD Aurum","amoxicillin_clavulanate",2013,2023,2023,14.9666666666667,31.6,2.11135857461025,"Covid_19","UK","primary","inc","Indication any time prior"
"34","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,2.36666666666667,0.9,0.380281690140845,"Covid_19","UK","primary","inc","Indication during prior 30 days"
"35","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,0.166666666666667,0.1,0.6,"Cystitis_bacteriuria","UK","primary","inc","Indication during prior 30 days"
"36","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,1.63333333333333,2.6,1.59183673469388,"Otitis_media","UK","primary","inc","Indication during prior 30 days"
"37","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,1.56666666666667,2,1.27659574468085,"Sinusitis","UK","primary","inc","Indication during prior 30 days"
"38","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,0.633333333333333,0.1,0.157894736842105,"Covid_19","UK","primary","inc","Indication on index date"
"39","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,0.0666666666666667,0,0,"Cystitis_bacteriuria","UK","primary","inc","Indication on index date"
"40","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,1.16666666666667,1.9,1.62857142857143,"Otitis_media","UK","primary","inc","Indication on index date"
"41","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,0.333333333333333,0.4,1.2,"Pneumonia","UK","primary","inc","Indication on index date"
"42","CPRD Aurum","amoxicillin_clavulanate",2010,2023,2023,1.2,1.5,1.25,"Sinusitis","UK","primary","inc","Indication on index date"
"43","GMC","amoxicillin_clavulanate",2013,2024,2023,41.2333333333333,27.85,0.675424413904608,"Covid_19","Israel","secondary","inc","Indication any time prior"
"44","GMC","amoxicillin_clavulanate",2013,2024,2023,0.566666666666667,0.85,1.5,"Pyelonephritis","Israel","secondary","inc","Indication any time prior"
"45","GMC","amoxicillin_clavulanate",2013,2023,2023,0.433333333333333,0.6,1.38461538461538,"Osteomyelitis","Israel","secondary","inc","Indication during prior 30 days"
"46","GMC","amoxicillin_clavulanate",2013,2024,2023,29,2.2,0.0758620689655173,"Covid_19","Israel","secondary","inc","Indication during prior 30 days"
"47","GMC","amoxicillin_clavulanate",2013,2024,2023,0.866666666666667,1.2,1.38461538461538,"Otitis_media","Israel","secondary","inc","Indication during prior 30 days"
"48","GMC","amoxicillin_clavulanate",2014,2024,2023,10.8,8.2,0.759259259259259,"Cellulitis_erysipelas_woundinfection","Israel","secondary","inc","Indication during prior 30 days"
"49","GMC","amoxicillin_clavulanate",2014,2024,2023,37.1666666666667,20.3,0.546188340807175,"Infection","Israel","secondary","inc","Indication during prior 30 days"
"50","GMC","amoxicillin_clavulanate",2013,2023,2023,16,1.7,0.10625,"Covid_19","Israel","secondary","inc","Indication on index date"
"51","GMC","amoxicillin_clavulanate",2013,2024,2023,0.566666666666667,1,1.76470588235294,"Otitis_media","Israel","secondary","inc","Indication on index date"
"52","GMC","amoxicillin_clavulanate",2014,2024,2023,19.1,10.8,0.565445026178011,"Infection","Israel","secondary","inc","Indication on index date"
"53","GMC","amoxicillin_clavulanate",2015,2024,2023,7.46666666666667,5.85,0.783482142857143,"Cellulitis_erysipelas_woundinfection","Israel","secondary","inc","Indication on index date"
"54","GMC","amoxicillin_clavulanate",2015,2024,2023,4.23333333333333,5.65,1.33464566929134,"Sinusitis","Israel","secondary","inc","Indication on index date"
"55","HULAFE","amoxicillin_clavulanate",2016,2023,2023,13.5,35,2.59259259259259,"Covid_19","Spain","EHR P+S","inc","Indication any time prior"
"56","HULAFE","amoxicillin_clavulanate",2016,2023,2023,22.1333333333333,27,1.21987951807229,"Otitis_media","Spain","EHR P+S","inc","Indication any time prior"
"57","HULAFE","amoxicillin_clavulanate",2016,2023,2023,2.03333333333333,0.6,0.295081967213115,"Covid_19","Spain","EHR P+S","inc","Indication during prior 30 days"
"58","HULAFE","amoxicillin_clavulanate",2016,2023,2023,3.06666666666667,2.2,0.717391304347826,"Cystitis_bacteriuria","Spain","EHR P+S","inc","Indication during prior 30 days"
"59","HULAFE","amoxicillin_clavulanate",2016,2023,2023,0.0666666666666667,0.1,1.5,"Osteomyelitis","Spain","EHR P+S","inc","Indication during prior 30 days"
"60","HULAFE","amoxicillin_clavulanate",2016,2023,2023,6.33333333333333,8.7,1.37368421052632,"Otitis_media","Spain","EHR P+S","inc","Indication during prior 30 days"
"61","HULAFE","amoxicillin_clavulanate",2016,2023,2023,2.23333333333333,3,1.34328358208955,"Sinusitis","Spain","EHR P+S","inc","Indication during prior 30 days"
"62","HULAFE","amoxicillin_clavulanate",2016,2023,2023,0.8,0.3,0.375,"Covid_19","Spain","EHR P+S","inc","Indication on index date"
"63","HULAFE","amoxicillin_clavulanate",2016,2023,2023,1.66666666666667,1.1,0.66,"Cystitis_bacteriuria","Spain","EHR P+S","inc","Indication on index date"
"64","HULAFE","amoxicillin_clavulanate",2016,2023,2023,5.23333333333333,7.1,1.35668789808917,"Otitis_media","Spain","EHR P+S","inc","Indication on index date"
"65","HULAFE","amoxicillin_clavulanate",2016,2023,2023,1.76666666666667,2.4,1.35849056603774,"Sinusitis","Spain","EHR P+S","inc","Indication on index date"
"66","IMASIS","amoxicillin_clavulanate",2010,2023,2023,3.7,4.5,1.21621621621622,"Cystitis_bacteriuria","Spain","secondary","inc","Indication any time prior"
"67","IMASIS","amoxicillin_clavulanate",2010,2023,2023,1.73333333333333,2.4,1.38461538461538,"Sinusitis","Spain","secondary","inc","Indication any time prior"
"68","IMASIS","amoxicillin_clavulanate",2010,2023,2023,15,2.5,0.166666666666667,"Covid_19","Spain","secondary","inc","Indication during prior 30 days"
"69","IMASIS","amoxicillin_clavulanate",2010,2023,2023,38.4666666666667,30.2,0.785095320623917,"Infection","Spain","secondary","inc","Indication during prior 30 days"
"70","IMASIS","amoxicillin_clavulanate",2010,2023,2023,7.73333333333333,9.4,1.21551724137931,"Pneumonia","Spain","secondary","inc","Indication during prior 30 days"
"71","IMASIS","amoxicillin_clavulanate",2010,2023,2023,1.86666666666667,1.1,0.589285714285714,"Covid_19","Spain","secondary","inc","Indication on index date"
"72","IMASIS","amoxicillin_clavulanate",2010,2023,2023,9.76666666666667,11.8,1.20819112627986,"Infection","Spain","secondary","inc","Indication on index date"
"73","IMASIS","amoxicillin_clavulanate",2010,2023,2023,2.7,4.1,1.51851851851852,"Pneumonia","Spain","secondary","inc","Indication on index date"
"74","IMASIS","amoxicillin_clavulanate",2011,2023,2023,0.2,0.3,1.5,"Otitis_media","Spain","secondary","inc","Indication on index date"
"75","IMASIS","amoxicillin_clavulanate",2012,2023,2023,0.15,0.2,1.33333333333333,"Sinusitis","Spain","secondary","inc","Indication on index date"
"76","IPCI","amoxicillin_clavulanate",2010,2023,2023,1.16666666666667,0.9,0.771428571428571,"Chronic_bronchitis","Netherlands","primary","inc","Indication any time prior"
"77","IPCI","amoxicillin_clavulanate",2010,2023,2023,14.3666666666667,34.6,2.40835266821346,"Covid_19","Netherlands","primary","inc","Indication any time prior"
"78","IPCI","amoxicillin_clavulanate",2010,2023,2023,0.133333333333333,0.1,0.75,"Chronic_bronchitis","Netherlands","primary","inc","Indication during prior 30 days"
"79","IPCI","amoxicillin_clavulanate",2010,2023,2023,2.33333333333333,0.7,0.3,"Covid_19","Netherlands","primary","inc","Indication during prior 30 days"
"80","IPCI","amoxicillin_clavulanate",2010,2023,2023,3.1,4.6,1.48387096774194,"Pneumonia","Netherlands","primary","inc","Indication during prior 30 days"
"81","IPCI","amoxicillin_clavulanate",2010,2023,2023,0.9,0.7,0.777777777777778,"Pyelonephritis","Netherlands","primary","inc","Indication during prior 30 days"
"82","IPCI","amoxicillin_clavulanate",2012,2023,2023,0,0.1,Inf,"Osteomyelitis","Netherlands","primary","inc","Indication during prior 30 days"
"83","IPCI","amoxicillin_clavulanate",2010,2023,2023,0.0666666666666667,0,0,"Chronic_bronchitis","Netherlands","primary","inc","Indication on index date"
"84","IPCI","amoxicillin_clavulanate",2010,2023,2023,0.666666666666667,0.3,0.45,"Covid_19","Netherlands","primary","inc","Indication on index date"
"85","IPCI","amoxicillin_clavulanate",2010,2023,2023,2.26666666666667,3.5,1.54411764705882,"Pneumonia","Netherlands","primary","inc","Indication on index date"
"86","IPCI","amoxicillin_clavulanate",2010,2023,2023,0.666666666666667,0.5,0.75,"Pyelonephritis","Netherlands","primary","inc","Indication on index date"
"87","IPCI","amoxicillin_clavulanate",2010,2023,2023,0.9,1.1,1.22222222222222,"Sinusitis","Netherlands","primary","inc","Indication on index date"
"88","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.766666666666667,1.1,1.43478260869565,"Chronic_bronchitis","Germany","claims P+S","inc","Indication any time prior"
"89","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,1.93333333333333,4.1,2.12068965517241,"Covid_19","Germany","claims P+S","inc","Indication any time prior"
"90","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.466666666666667,0.6,1.28571428571429,"Pyelonephritis","Germany","claims P+S","inc","Indication any time prior"
"91","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.566666666666667,0.7,1.23529411764706,"Covid_19","Germany","claims P+S","inc","Indication during prior 30 days"
"92","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.266666666666667,0.2,0.75,"Cystitis_bacteriuria","Germany","claims P+S","inc","Indication during prior 30 days"
"93","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.1,0.2,2,"Osteomyelitis","Germany","claims P+S","inc","Indication during prior 30 days"
"94","InGef RDB","amoxicillin_clavulanate",2014,2023,2023,1.66666666666667,1.2,0.72,"Cellulitis_erysipelas_woundinfection","Germany","claims P+S","inc","Indication during prior 30 days"
"95","InGef RDB","amoxicillin_clavulanate",2014,2023,2023,1.43333333333333,1.8,1.25581395348837,"Pneumonia","Germany","claims P+S","inc","Indication during prior 30 days"
"96","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.666666666666667,0.5,0.75,"Cellulitis_erysipelas_woundinfection","Germany","claims P+S","inc","Indication on index date"
"97","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.133333333333333,0.2,1.5,"Covid_19","Germany","claims P+S","inc","Indication on index date"
"98","InGef RDB","amoxicillin_clavulanate",2013,2023,2023,0.433333333333333,0.7,1.61538461538462,"Pneumonia","Germany","claims P+S","inc","Indication on index date"
"99","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,7.63333333333333,3.55,0.465065502183406,"Cellulitis_erysipelas_woundinfection","Belgium","secondary","inc","Indication any time prior"
"100","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,13.1666666666667,6.65,0.505063291139241,"Covid_19","Belgium","secondary","inc","Indication any time prior"
"101","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,1.86666666666667,1,0.535714285714286,"Osteomyelitis","Belgium","secondary","inc","Indication any time prior"
"102","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,1.53333333333333,0.9,0.58695652173913,"Otitis_media","Belgium","secondary","inc","Indication any time prior"
"103","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,3,2,0.666666666666667,"Pyelonephritis","Belgium","secondary","inc","Indication any time prior"
"104","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,1.73333333333333,1.35,0.778846153846154,"Sinusitis","Belgium","secondary","inc","Indication any time prior"
"105","OLVA MS","amoxicillin_clavulanate",2016,2024,2023,60.3333333333333,31.95,0.529558011049724,"Infection","Belgium","secondary","inc","Indication any time prior"
"106","OLVA MS","amoxicillin_clavulanate",2016,2024,2023,32.9333333333333,11.85,0.359817813765182,"Pneumonia","Belgium","secondary","inc","Indication any time prior"
"107","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,3.73333333333333,0,0,"Cellulitis_erysipelas_woundinfection","Belgium","secondary","inc","Indication during prior 30 days"
"108","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,9.4,0,0,"Covid_19","Belgium","secondary","inc","Indication during prior 30 days"
"109","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.9,0,0,"Cystitis_bacteriuria","Belgium","secondary","inc","Indication during prior 30 days"
"110","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.566666666666667,0,0,"Osteomyelitis","Belgium","secondary","inc","Indication during prior 30 days"
"111","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.766666666666667,0,0,"Otitis_media","Belgium","secondary","inc","Indication during prior 30 days"
"112","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,1.26666666666667,0,0,"Pyelonephritis","Belgium","secondary","inc","Indication during prior 30 days"
"113","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.7,0,0,"Sinusitis","Belgium","secondary","inc","Indication during prior 30 days"
"114","OLVA MS","amoxicillin_clavulanate",2016,2024,2023,43.0666666666667,0,0,"Infection","Belgium","secondary","inc","Indication during prior 30 days"
"115","OLVA MS","amoxicillin_clavulanate",2016,2024,2023,23.6333333333333,0,0,"Pneumonia","Belgium","secondary","inc","Indication during prior 30 days"
"116","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,2.26666666666667,0,0,"Cellulitis_erysipelas_woundinfection","Belgium","secondary","inc","Indication on index date"
"117","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,4,0,0,"Covid_19","Belgium","secondary","inc","Indication on index date"
"118","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.4,0,0,"Cystitis_bacteriuria","Belgium","secondary","inc","Indication on index date"
"119","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.4,0,0,"Otitis_media","Belgium","secondary","inc","Indication on index date"
"120","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.55,0,0,"Pyelonephritis","Belgium","secondary","inc","Indication on index date"
"121","OLVA MS","amoxicillin_clavulanate",2015,2024,2023,0.5,0,0,"Sinusitis","Belgium","secondary","inc","Indication on index date"
"122","OLVA MS","amoxicillin_clavulanate",2016,2024,2023,20.9,0,0,"Infection","Belgium","secondary","inc","Indication on index date"
"123","OLVA MS","amoxicillin_clavulanate",2016,2024,2023,12.4,0,0,"Pneumonia","Belgium","secondary","inc","Indication on index date"
"124","OPCRD","amoxicillin_clavulanate",2010,2024,2023,14.1,21.7,1.53900709219858,"Cellulitis_erysipelas_woundinfection","UK","primary","inc","Indication any time prior"
"125","OPCRD","amoxicillin_clavulanate",2010,2024,2023,6.26666666666667,8.5,1.3563829787234,"Cystitis_bacteriuria","UK","primary","inc","Indication any time prior"
"126","OPCRD","amoxicillin_clavulanate",2010,2024,2023,56.4666666666667,82.9,1.4681227863046,"Infection","UK","primary","inc","Indication any time prior"
"127","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.5,0.8,1.6,"Osteomyelitis","UK","primary","inc","Indication any time prior"
"128","OPCRD","amoxicillin_clavulanate",2010,2024,2023,9.53333333333333,17.7,1.85664335664336,"Otitis_media","UK","primary","inc","Indication any time prior"
"129","OPCRD","amoxicillin_clavulanate",2010,2024,2023,5.06666666666667,9.05,1.78618421052632,"Pneumonia","UK","primary","inc","Indication any time prior"
"130","OPCRD","amoxicillin_clavulanate",2010,2024,2023,3.16666666666667,5.1,1.61052631578947,"Pyelonephritis","UK","primary","inc","Indication any time prior"
"131","OPCRD","amoxicillin_clavulanate",2010,2024,2023,13.1666666666667,20.8,1.57974683544304,"Sinusitis","UK","primary","inc","Indication any time prior"
"132","OPCRD","amoxicillin_clavulanate",2015,2024,2023,5.26666666666667,23.5,4.4620253164557,"Covid_19","UK","primary","inc","Indication any time prior"
"133","OPCRD","amoxicillin_clavulanate",2010,2023,2023,0.05,0.1,2,"Osteomyelitis","UK","primary","inc","Indication during prior 30 days"
"134","OPCRD","amoxicillin_clavulanate",2010,2024,2023,2.43333333333333,3.6,1.47945205479452,"Cellulitis_erysipelas_woundinfection","UK","primary","inc","Indication during prior 30 days"
"135","OPCRD","amoxicillin_clavulanate",2010,2024,2023,1.13333333333333,0.65,0.573529411764706,"Covid_19","UK","primary","inc","Indication during prior 30 days"
"136","OPCRD","amoxicillin_clavulanate",2010,2024,2023,9.43333333333333,18.35,1.9452296819788,"Infection","UK","primary","inc","Indication during prior 30 days"
"137","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.533333333333333,2,3.75,"Otitis_media","UK","primary","inc","Indication during prior 30 days"
"138","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.366666666666667,1.05,2.86363636363636,"Pneumonia","UK","primary","inc","Indication during prior 30 days"
"139","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.8,1.25,1.5625,"Pyelonephritis","UK","primary","inc","Indication during prior 30 days"
"140","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.666666666666667,1.7,2.55,"Sinusitis","UK","primary","inc","Indication during prior 30 days"
"141","OPCRD","amoxicillin_clavulanate",2010,2023,2023,0.05,0,0,"Cystitis_bacteriuria","UK","primary","inc","Indication on index date"
"142","OPCRD","amoxicillin_clavulanate",2010,2024,2023,1.6,2.45,1.53125,"Cellulitis_erysipelas_woundinfection","UK","primary","inc","Indication on index date"
"143","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.266666666666667,0.15,0.5625,"Covid_19","UK","primary","inc","Indication on index date"
"144","OPCRD","amoxicillin_clavulanate",2010,2024,2023,5.66666666666667,10.95,1.93235294117647,"Infection","UK","primary","inc","Indication on index date"
"145","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.333333333333333,1.3,3.9,"Otitis_media","UK","primary","inc","Indication on index date"
"146","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.15,0.4,2.66666666666667,"Pneumonia","UK","primary","inc","Indication on index date"
"147","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.666666666666667,1.1,1.65,"Pyelonephritis","UK","primary","inc","Indication on index date"
"148","OPCRD","amoxicillin_clavulanate",2010,2024,2023,0.5,1.2,2.4,"Sinusitis","UK","primary","inc","Indication on index date"
"149","P+","amoxicillin_clavulanate",2015,2023,2023,9.2,16.6,1.80434782608696,"Covid_19","USA","claims P+S","inc","Indication any time prior"
"150","P+","amoxicillin_clavulanate",2017,2023,2023,0.733333333333333,0.9,1.22727272727273,"Pyelonephritis","USA","claims P+S","inc","Indication any time prior"
"151","P+","amoxicillin_clavulanate",2015,2023,2023,2.33333333333333,0.6,0.257142857142857,"Covid_19","USA","claims P+S","inc","Indication during prior 30 days"
"152","P+","amoxicillin_clavulanate",2016,2023,2023,0.8,0.5,0.625,"Cystitis_bacteriuria","USA","claims P+S","inc","Indication during prior 30 days"
"153","P+","amoxicillin_clavulanate",2015,2023,2023,11.7666666666667,14.6,1.24079320113314,"Infection","USA","claims P+S","inc","Indication on index date"
"154","P+","amoxicillin_clavulanate",2015,2023,2023,0.866666666666667,1.2,1.38461538461538,"Pneumonia","USA","claims P+S","inc","Indication on index date"
"155","POLIMI","amoxicillin_clavulanate",2016,2023,2023,2.25,0,0,"Covid_19","Italy","secondary","inc","Indication any time prior"
"156","POLIMI","amoxicillin_clavulanate",2016,2024,2023,2.33333333333333,2.9,1.24285714285714,"Cellulitis_erysipelas_woundinfection","Italy","secondary","inc","Indication any time prior"
"157","POLIMI","amoxicillin_clavulanate",2016,2024,2023,2.86666666666667,1.9,0.662790697674419,"Cystitis_bacteriuria","Italy","secondary","inc","Indication any time prior"
"158","POLIMI","amoxicillin_clavulanate",2016,2024,2023,1.6,2.2,1.375,"Sinusitis","Italy","secondary","inc","Indication any time prior"
"159","POLIMI","amoxicillin_clavulanate",2017,2024,2023,4.93333333333333,2.75,0.557432432432432,"Chronic_bronchitis","Italy","secondary","inc","Indication any time prior"
"160","POLIMI","amoxicillin_clavulanate",2016,2024,2023,0.933333333333333,0,0,"Covid_19","Italy","secondary","inc","Indication during prior 30 days"
"161","POLIMI","amoxicillin_clavulanate",2017,2024,2023,2.83333333333333,1.7,0.6,"Chronic_bronchitis","Italy","secondary","inc","Indication during prior 30 days"
"162","POLIMI","amoxicillin_clavulanate",2017,2024,2023,13.9333333333333,9,0.645933014354067,"Infection","Italy","secondary","inc","Indication during prior 30 days"
"163","POLIMI","amoxicillin_clavulanate",2017,2024,2023,8.63333333333333,6.75,0.781853281853282,"Pneumonia","Italy","secondary","inc","Indication during prior 30 days"
"164","POLIMI","amoxicillin_clavulanate",2016,2024,2023,0.4,0,0,"Covid_19","Italy","secondary","inc","Indication on index date"
"165","POLIMI","amoxicillin_clavulanate",2017,2024,2023,4.36666666666667,1.95,0.446564885496183,"Infection","Italy","secondary","inc","Indication on index date"
"166","PRISIB","amoxicillin_clavulanate",2011,2023,2023,12.7666666666667,30.6,2.39686684073107,"Covid_19","Spain","EHR P+S","inc","Indication any time prior"
"167","PRISIB","amoxicillin_clavulanate",2011,2023,2023,2.3,2.8,1.21739130434783,"Cellulitis_erysipelas_woundinfection","Spain","EHR P+S","inc","Indication during prior 30 days"
"168","PRISIB","amoxicillin_clavulanate",2011,2023,2023,0.3,0.4,1.33333333333333,"Chronic_bronchitis","Spain","EHR P+S","inc","Indication during prior 30 days"
"169","PRISIB","amoxicillin_clavulanate",2011,2023,2023,1.26666666666667,0.2,0.157894736842105,"Covid_19","Spain","EHR P+S","inc","Indication during prior 30 days"
"170","PRISIB","amoxicillin_clavulanate",2011,2023,2023,0.866666666666667,1.3,1.5,"Pneumonia","Spain","EHR P+S","inc","Indication during prior 30 days"
"171","PRISIB","amoxicillin_clavulanate",2011,2023,2023,1.63333333333333,2,1.22448979591837,"Sinusitis","Spain","EHR P+S","inc","Indication during prior 30 days"
"172","PRISIB","amoxicillin_clavulanate",2011,2023,2023,0.2,0,0,"Covid_19","Spain","EHR P+S","inc","Indication on index date"
"173","PRISIB","amoxicillin_clavulanate",2011,2023,2023,0.433333333333333,0.3,0.692307692307692,"Cystitis_bacteriuria","Spain","EHR P+S","inc","Indication on index date"
"174","PRISIB","amoxicillin_clavulanate",2011,2023,2023,0.533333333333333,0.8,1.5,"Pneumonia","Spain","EHR P+S","inc","Indication on index date"
"175","SIDIAP","amoxicillin_clavulanate",2010,2023,2023,10.0666666666667,12.3,1.22185430463576,"Pneumonia","Spain","primary","inc","Indication any time prior"
"176","SIDIAP","amoxicillin_clavulanate",2012,2023,2023,21.1666666666667,45.6,2.15433070866142,"Covid_19","Spain","primary","inc","Indication any time prior"
"177","SIDIAP","amoxicillin_clavulanate",2010,2023,2023,0.0333333333333333,0.1,3,"Chronic_bronchitis","Spain","primary","inc","Indication during prior 30 days"
